Time ,epoch,stage,train loss,accuracy
34:47.1,1,0.0016,2.3862288,7.5
34:48.3,1,0.0032,2.210308313,15
34:49.5,1,0.0048,2.205887556,15
34:50.7,1,0.0064,2.134358168,30
34:52.0,1,0.008,2.06753087,30
34:53.2,1,0.0096,1.964614511,25
34:54.5,1,0.0112,1.833132744,45
34:55.7,1,0.0128,1.757716775,32.5
34:57.0,1,0.0144,1.586975694,47.5
34:58.2,1,0.016,1.638289452,40
34:59.5,1,0.0176,1.401639223,50
35:00.7,1,0.0192,1.127342463,62.5
35:01.9,1,0.0208,1.020738482,75
35:03.2,1,0.0224,1.118038654,60
35:04.4,1,0.024,1.108633637,65
35:05.7,1,0.0256,0.872345805,70
35:06.9,1,0.0272,1.059570313,67.5
35:08.2,1,0.0288,0.629629254,80
35:09.4,1,0.0304,0.808674335,60
35:10.7,1,0.032,0.760445535,75
35:11.9,1,0.0336,0.508224785,77.5
35:13.2,1,0.0352,0.882684886,65
35:14.4,1,0.0368,0.63582778,77.5
35:15.7,1,0.0384,0.763129115,67.5
35:16.9,1,0.04,0.860883355,70
35:18.1,1,0.0416,0.679177701,80
35:19.4,1,0.0432,0.699346244,75
35:20.7,1,0.0448,0.585849822,87.5
35:21.9,1,0.0464,0.598037541,75
35:23.2,1,0.048,0.604693472,82.5
35:24.4,1,0.0496,0.97206533,72.5
35:25.7,1,0.0512,0.708672464,70
35:26.9,1,0.0528,0.668331563,80
35:28.2,1,0.0544,0.823805988,67.5
35:29.5,1,0.056,0.403773248,90
35:30.7,1,0.0576,0.448937118,82.5
35:32.0,1,0.0592,0.803123116,70
35:33.2,1,0.0608,0.922078431,75
35:34.5,1,0.0624,0.85104692,67.5
35:35.8,1,0.064,0.618901491,80
35:37.0,1,0.0656,0.612581134,80
35:38.3,1,0.0672,0.606369734,82.5
35:39.6,1,0.0688,0.862265229,70
35:40.8,1,0.0704,0.823976696,75
35:42.1,1,0.072,0.595114052,82.5
35:43.3,1,0.0736,0.430235803,82.5
35:44.6,1,0.0752,1.030768752,65
35:45.9,1,0.0768,0.691450775,72.5
35:47.2,1,0.0784,0.402426809,85
35:48.4,1,0.08,0.75786674,67.5
35:49.7,1,0.0816,0.662062824,82.5
35:51.0,1,0.0832,0.98030442,65
35:52.2,1,0.0848,0.538009644,75
35:53.5,1,0.0864,0.665660739,80
35:54.8,1,0.088,0.732161283,77.5
35:56.1,1,0.0896,0.864804626,70
35:57.3,1,0.0912,0.484643042,82.5
35:58.6,1,0.0928,0.287166595,90
35:59.9,1,0.0944,0.457669318,85
36:01.2,1,0.096,0.398657739,87.5
36:02.5,1,0.0976,0.34416756,92.5
36:03.7,1,0.0992,0.629445553,75
36:05.0,1,0.1008,0.476809025,87.5
36:06.3,1,0.1024,0.64529258,77.5
36:07.6,1,0.104,0.378911674,87.5
36:08.9,1,0.1056,0.8988415,72.5
36:10.1,1,0.1072,0.774618268,77.5
36:11.4,1,0.1088,0.94278878,70
36:12.7,1,0.1104,0.483888209,82.5
36:14.0,1,0.112,0.671986043,77.5
36:15.3,1,0.1136,0.611711681,75
36:16.5,1,0.1152,0.787710488,72.5
36:17.8,1,0.1168,0.771891117,72.5
